Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Χασάνι Ρίζα,,Αγία Αναστασία,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΚΥΝΟΥΡΙΑΣ,179/1927,,37.3900774,22.7403528
Καρσί Τσιφλίκ,,Ξάγναντο,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2802641,24.4842158
Άνω Δουβλατάν,,Άνω Βασιλικά,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.3365067,22.5568754
Μάσκλινα,,Ελαιοχώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΡΚΑΔΙΑΣ,ΚΥΝΟΥΡΙΑΣ,179/1927,,39.0,22.0
Ντεντελέρ,,Καπνόφυτον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Μουσελίμ,,Αηδονόκαστρον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Τζαμί Μαχαλέ,,Τέμενος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.2860058,24.4727497
Στάρτιστα,,Περιθώρι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.3124161,23.781106
Δαλακλή,,Πολύλοφον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Βίνιανη,,Λευκάδι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.302105,21.2802734
Γλιάτα,,Ηλέκτρα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.299051,21.9249138
Ζύρνοβον,,Κάτω Νευροκόπιον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Τσορωτά,,Καρνάσιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Βρόντιζα,,Βροντή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2924995,21.2927137
Σολομίστι,,Στέρνα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3628023,21.3120923
Γαράντζα,,Κάτω Μέλπεια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,← Κάτω Γαράντζα,37.3289188,21.9308798
Καρά Κιόι,,Κατάφυτον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Κούρταγα,,Κεντρικόν,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Ραβίκα,,Καλλίφυτον,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Πόλαινα,Πολαίνα,Πλατανόβρυση,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1136979,21.8059553
Χαστέμη,Χάστεμη,Λευκοχώρα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.0530102,21.934129
Ναζήρι,,Εύα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1626406,21.9385153
Σιμίζα,Σίμιζα,Αρσινόη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1669736,21.9232601
Κωνστάντσικον,,Αυγερινός,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2394812,21.1639232
Δέβλα,,Κρυονέριον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Βελίστη,,Ασπρούλα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3358685,21.2864865
Λατόριστα,,Αγίασμα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2794363,21.2392371
Ζαγάρενα,Ταγάρενα,Κορομηλιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1557965,21.8489714
Συγκόλιον,,Παρόχθιον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Γκόρνιτσα,,Καλή Βρύσις,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Μποσινός,,Καλαμώνας,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.0123604,24.2110761
Βίτσι,,Λόχμη,,ΜΑΚΕΔΟΝΙΑ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,18/1927,,40.1676086,21.3880664
Σταρμπάδες,Σταμπάδες,Βελανιδιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3515626,21.3311955
Τσαλί Μπασή,Γιουρούκηδες,Μαυρόπρινος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Ζάντσικον,,Γερακοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,→ Ζώνη,40.31298,21.83445
Δοσπάτ,,Πρινότοπος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.4958945,24.0756143
Τζιτζώρι,,Ανάληψις,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Σουπλί,,Αγία Τριάς,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.0,22.0
Δεμερλή,,Σταυρός,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΦΑΡΣΑΛΩΝ,306/1927,,39.3171916,22.2374247
Δομαβίστη,,Φλαμουριά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3387993,21.9406674
Βίλιανη,,Λευκαδιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2556202,21.757417
Ζέζα,,Ανθούσα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.2076533,21.9659767
Σέλιτσα,,Κατωχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Δρυάνοβο,,Δρυόβουνον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Βούλκοβον,,Χρυσοκέφαλος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.3770673,23.8680529
Δίσλαπον,,Δραγασιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3285518,21.1403288
Ντόλος,,Βυθός,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2049656,21.132474
Λιμπόχοβο,,Βραχοπλαγιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,→ Δίλοφον,40.31298,21.83445
Κουμπάλιστα,,Κοκκινόγεια,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1905672,23.9330714
Ζαπάντι,,Καρυόβρυση,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Τζεφερεμίνι,,Βαλύρα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1647341,21.9826904
Βεδυλούστιον,Βεδυλούτσιον,Δαμασκηνιά,Δαμασκηνέα,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.3356758,21.1809557
Κωντσικόν,Κωντζικόν,Γαλατινή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.318382,21.5522522
Λυκούρεσι,,Δασοχώρι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.3426742,21.9778802
Λόι,,Διόδια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.0780849,21.8647401
Σαμπάκαλφα,,Αετοφωλιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.0893456,21.8669608
Σιάμαρη,Σιάμαρι,Ελληνοεκκλησιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1344843,21.9121876
Ράδον,,Περδικόβρυση,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.1364799,21.8199969
Άνω Γαράντζα,,Άνω Μέλπεια,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.3511007,21.946411
Σκάρμιζα,Σκάρμιγκα,Μεταμόρφωσις,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,37.1418602,22.0463928
Καρακαβέλι,Καρακασέλι,Καρποφόρα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.9981446,21.9108295
Ανάζογλι,,Πανέικα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.897656,21.8508744
Λέζαγα,,Στενοσιά,Στενωσιά,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.9571679,21.750408
Φουρτζί,,Βελανιδιές,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Σιδέροβο,,Μεσοβούνι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.3474528,24.0748813
Πασαλίνα,,Νεραντζά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Σούμπαλι,,Αγνάντιο,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Δράγκα,,Μαθιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.9246472,21.8881829
Αγατζίκι,,Φοινίκη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.8163663,21.7511531
Βελή Πέρα,Βελή,Πέραν,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Μισυρλί,,Μικροποταμιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Πισπίσια,,Μυρσινοχώρι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,37.0239683,21.7276051
Χαλαμπρέζα,,Καλοχώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,39.0,22.0
Μίσκα,,Νερόμυλος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,37.0111886,21.8784673
Τερλίς,,Βαθύτοπος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.3514887,23.710844
Λιμπίσοβο,Λιμπίστοβο,Αϊλιάς,Άγιος Ηλίας,ΜΑΚΕΔΟΝΙΑ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,179/1927,→ Άγιος Ηλίας,40.56295,21.25623
Παζαρλάρ,,Αγορά,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.1277932,24.3106582
Σβόλιανη,,Αγία Σωτήρα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2029654,21.1867685
Εδερνετζίκ,,Αδριανή,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.136522,24.2663923
Μπόριανη,,Άγιος Αθανάσιος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.119193550000006,23.916336270071234
Αρναούταλη,,Πετρίτσι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,37.0068493,21.8358696
Σαρατζάς,,Χρυσοκελλαριά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΠΥΛΙΑΣ,306/1927,,36.7916878,21.8871733
Άνω Σουλιμά,,Άνω Δώριον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΤΡΙΦΥΛΙΑΣ,306/1927,,39.0,22.0
Περόφ,,Άγιος Πέτρος,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Γεδή Περέ,,Νεροφράκτης,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.0438497,24.132909
Χαμουζά,,Αμμουδερόν,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Μπάνια,,Αγία Παρασκευή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.24808455,22.072239213081936
Λούμι,,Ρεμματιά,Ρευματιά,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Χρύσοβα,,Χρυσότοπος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,37.2145409,21.8430911
Μασγκάν,Μαζγκάν,Αχλαδιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2753359,21.2004079
Τσαβαλέρη,,Κοιλάδι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.2650768,21.1985217
Βρατίνιον,,Παληούριον,Παλιούριον,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.31298,21.83445
Βρόστιανη,,Άγιοι Ανάργυροι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,179/1927,,40.277838,21.1710564
Πεντιά,,Τρίκορφον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΗΣ,306/1927,,39.0,22.0
Καρακκλήσι,,Μαυροκκλήσιον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καρασαπλή,,Μαυροχέριον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Τοκμάκ κιοϊ,,Μεταξάδες,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.4203717,26.2250421
Τσιομπανλή,,Ποιμενικόν,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Ακ Σακάλ,,Πολιά,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.4446863,26.2259808
Κούλελι Βουργάζ,,Πύθιον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.3840316,26.6116185
Μπασκλησέ,,Πρωτοκκλήσιον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Σαρά κιοϊ,,Σαράκιον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),→ Ρήγιον,39.0,22.0
Σουσμπάς κιοϊ,,Σαύρα,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.4176858,26.2989558
Κιλιτζή κιοϊ,,Σκουρτοχώριον,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),→ Σιτοχώριον,39.0,22.0
Τζαμπαζλάρ,,Τραύα,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καρλή,,Χιονάδες,,ΘΡΑΚΗ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.4925113,26.3195434
Γκιουμουλτζίνα,,Κομοτηνή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1182,25.4035708
Ποζάρ κιοϊ,,Αγορά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.11739675,25.40208905
Χατζή κιοϊ,,Αγιοχώρι,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0869018,25.7761511
Γιαχιγιά Μπεϊλή,,Αμάραντα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0504078,25.4991587
Χατζή Μουσταφά,,Άμφια,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0821244,25.6156128
Ορτακτσή,,Αμβροσία,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0888085,25.2340132
Γιουντερλή (Ουνβιράν),,Άνω Δροσινή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1940372,25.5909405
Καρατζά κιοϊ,,Άρατος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0811667,25.5531219
Μπαϊράκ,,Αρδεία,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2156856,25.53969
Ιρτζάν,,Αρίσβη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0706155,25.5908632
Κουζλού Κεμπίρ,,Αρριανά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0814579,25.6951416
Ασά κιοϊ,,Αρσάκιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Σαρή Γιαρ,,Αρωγή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9497844,25.1693347
Τσελεμπή,,Αρχοντικά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0739725,25.5417323
Σοφουλάρ,,Ασκηταί,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Μπουλάτ κιοϊ,,Ασώματος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Βακούφ,,Βάκος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0725294,25.533101
Μπεκήρ κιοϊ,,Βέλκιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Δεμίρ Μπεϊλή,,Βέννα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0120254,25.514847
Μπαλχάρ,,Βραγιά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0894089,25.5591281
Χατζή Βιράν,,Βυρσίνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.3100394,25.8080263
Γιαλαντζαλή,,Γαληνή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1074145,25.2062084
